epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,87.4201,0.23493,0.30223,0.88131,0.98646,1,0.995,0.93991,0.27844,0.42372,0.89606,0.000439,0.000439,0.000439
172,87.919,0.26572,0.36628,0.86932,0.98651,1,0.995,0.995,0.26455,0.41131,0.8713,0.0004357,0.0004357,0.0004357
173,88.4023,0.24038,0.29883,0.86166,0.98651,1,0.995,0.995,0.26455,0.41131,0.8713,0.0004324,0.0004324,0.0004324
174,88.8343,0.26805,0.32359,0.93388,0.98651,1,0.995,0.995,0.26455,0.41131,0.8713,0.0004291,0.0004291,0.0004291
175,89.3003,0.32006,0.34646,0.90425,0.98651,1,0.995,0.995,0.26455,0.41131,0.8713,0.0004258,0.0004258,0.0004258
176,89.9473,0.27267,0.37037,0.93482,0.98674,1,0.995,0.995,0.25666,0.37454,0.84362,0.0004225,0.0004225,0.0004225
177,90.4257,0.27275,0.33053,0.90423,0.98674,1,0.995,0.995,0.25666,0.37454,0.84362,0.0004192,0.0004192,0.0004192
178,90.9093,0.26061,0.30286,0.8885,0.98674,1,0.995,0.995,0.25666,0.37454,0.84362,0.0004159,0.0004159,0.0004159
179,91.3555,0.23777,0.2897,0.8522,0.98674,1,0.995,0.995,0.25666,0.37454,0.84362,0.0004126,0.0004126,0.0004126
180,91.8419,0.28068,0.30564,0.8719,0.98679,1,0.995,0.995,0.27612,0.36236,0.83528,0.0004093,0.0004093,0.0004093
181,92.3526,0.26863,0.31128,0.9148,0.98679,1,0.995,0.995,0.27612,0.36236,0.83528,0.000406,0.000406,0.000406
182,92.8632,0.30865,0.38578,0.92069,0.98679,1,0.995,0.995,0.27612,0.36236,0.83528,0.0004027,0.0004027,0.0004027
183,93.3321,0.23459,0.28041,0.90786,0.98679,1,0.995,0.995,0.27612,0.36236,0.83528,0.0003994,0.0003994,0.0003994
184,93.8359,0.24015,0.28668,0.88084,0.98691,1,0.995,0.995,0.29301,0.37062,0.84115,0.0003961,0.0003961,0.0003961
